Movie_ID,Netflix
4,1
7,1
8,1
9,1
11,1
12,1
13,1
14,1
20,1
23,1
24,1
25,1
27,1
32,1
34,1
36,1
39,1
40,1
41,1
49,1
51,1
59,1
61,1
62,1
67,1
68,1
69,1
71,1
79,1
80,1
82,1
83,1
91,1
92,1
93,1
96,1
103,1
106,1
114,1
115,1
120,1
121,1
123,1
128,1
131,1
137,1
150,1
153,1
162,1
168,1
175,1
181,1
192,1
196,1
201,1
202,1
209,1
217,1
223,1
224,1
225,1
226,1
229,1
230,1
232,1
234,1
242,1
243,1
257,1
263,1
271,1
283,1
294,1
301,1
306,1
312,1
315,1
316,1
318,1
320,1
321,1
322,1
323,1
324,1
325,1
332,1
334,1
337,1
347,1
350,1
353,1
357,1
362,1
363,1
367,1
368,1
374,1
376,1
378,1
384,1
386,1
389,1
394,1
395,1
396,1
401,1
403,1
404,1
405,1
406,1
408,1
410,1
411,1
415,1
416,1
422,1
423,1
429,1
442,1
446,1
451,1
457,1
461,1
467,1
475,1
478,1
482,1
486,1
487,1
497,1
503,1
507,1
508,1
509,1
518,1
528,1
535,1
536,1
542,1
548,1
551,1
552,1
558,1
561,1
563,1
564,1
566,1
569,1
574,1
575,1
583,1
587,1
592,1
595,1
603,1
604,1
616,1
621,1
622,1
625,1
627,1
628,1
634,1
653,1
660,1
662,1
668,1
669,1
678,1
681,1
687,1
696,1
698,1
701,1
708,1
719,1
722,1
724,1
731,1
737,1
746,1
750,1
751,1
760,1
777,1
782,1
792,1
794,1
800,1
821,1
824,1
833,1
848,1
853,1
857,1
863,1
872,1
877,1
883,1
886,1
890,1
897,1
899,1
900,1
905,1
906,1
909,1
917,1
932,1
933,1
934,1
939,1
951,1
964,1
967,1
975,1
984,1
990,1
994,1
998,1
1000,1
1003,1
1016,1
1020,1
1027,1
1035,1
1040,1
1046,1
1047,1
1076,1
1078,1
1080,1
1081,1
1084,1
1089,1
1094,1
1095,1
1098,1
1102,1
1112,1
1115,1
1116,1
1127,1
1134,1
1143,1
1151,1
1152,1
1153,1
1154,1
1155,1
1158,1
1210,1
1272,1
1286,1
1288,1
1290,1
1293,1
1297,1
1302,1
1310,1
1313,1
1316,1
1318,1
1321,1
1323,1
1324,1
1326,1
1327,1
1330,1
1332,1
1338,1
1340,1
1342,1
1346,1
1350,1
1353,1
1363,1
1367,1
1368,1
1370,1
1371,1
1378,1
1383,1
1388,1
1391,1
1396,1
1398,1
1406,1
1407,1
1412,1
1417,1
1420,1
1431,1
1434,1
1435,1
1436,1
1441,1
1451,1
1458,1
1459,1
1462,1
1463,1
1468,1
1474,1
1483,1
1497,1
1503,1
1522,1
1525,1
1532,1
1533,1
1559,1
1571,1
1572,1
1582,1
1604,1
1608,1
1611,1
1619,1
1632,1
1660,1
1670,1
1685,1
1688,1
1706,1
1708,1
1722,1
1735,1
1741,1
1747,1
1756,1
1805,1
1806,1
1813,1
1830,1
1841,1
1857,1
1862,1
1865,1
1890,1
1891,1
1892,1
1893,1
1894,1
1919,1
1950,1
1960,1
2072,1
2097,1
2111,1
2140,1
2240,1
2242,1
2244,1
2248,1
2250,1
2254,1
2279,1
2291,1
2305,1
2308,1
2313,1
2314,1
2324,1
2329,1
2337,1
2339,1
2342,1
2348,1
2376,1
2388,1
2391,1
2392,1
2393,1
2433,1
2434,1
2435,1
2440,1
2456,1
2457,1
2458,1
2462,1
2475,1
2476,1
2477,1
2480,1
2495,1
2505,1
2529,1
2534,1
2536,1
2547,1
2549,1
2554,1
2558,1
2584,1
2597,1
2609,1
2626,1
2627,1
2632,1
2656,1
2726,1
2729,1
2749,1
2752,1
2774,1
2777,1
2795,1
2797,1
2808,1
2812,1
2813,1
2833,1
2843,1
2844,1
2847,1
2852,1
2896,1
2936,1
2937,1
2986,1
2994,1
2995,1
2997,1
2998,1
3014,1
3023,1
3035,1
3039,1
3043,1
3052,1
3053,1
3058,1
3059,1
3076,1
3077,1
3079,1
3091,1
3119,1
3131,1
3139,1
3140,1
3144,1
3146,1
3150,1
3165,1
3166,1
3169,1
3176,1
3209,1
3233,1
3244,1
3256,1
3268,1
3271,1
3277,1
3283,1
3284,1
3307,1
3310,1
3311,1
3322,1
3333,1
3352,1
3353,1
3357,1
3367,1
3382,1
3384,1
3393,1
3415,1
3423,1
3439,1
3452,1
3489,1
3519,1
3528,1
3530,1
3532,1
3536,1
3540,1
3542,1
3586,1
3619,1
3648,1
3661,1
3667,1
3682,1
3693,1
3694,1
3708,1
3717,1
3728,1
3729,1
3735,1
3739,1
3758,1
3762,1
3766,1
3771,1
3772,1
3779,1
3781,1
3785,1
3834,1
3835,1
3836,1
3866,1
3875,1
3876,1
3879,1
3902,1
3903,1
3910,1
3912,1
3920,1
3921,1
3926,1
3938,1
3957,1
3980,1
3982,1
4006,1
4020,1
4025,1
4037,1
4038,1
4043,1
4060,1
4087,1
4094,1
4095,1
4096,1
4099,1
4121,1
4126,1
4131,1
4148,1
4194,1
4197,1
4213,1
4229,1
4230,1
4233,1
4236,1
4249,1
4264,1
4275,1
4278,1
4291,1
4314,1
4322,1
4339,1
4345,1
4354,1
4363,1
4369,1
4371,1
4404,1
4418,1
4438,1
4443,1
4444,1
4446,1
4464,1
4465,1
4469,1
4470,1
4482,1
4493,1
4510,1
4522,1
4524,1
4533,1
4546,1
4579,1
4592,1
4605,1
4613,1
4617,1
4618,1
4620,1
4644,1
4661,1
4669,1
4680,1
4681,1
4685,1
4687,1
4751,1
4752,1
4761,1
4780,1
4782,1
4796,1
4813,1
4839,1
4844,1
4851,1
4857,1
4862,1
4863,1
4885,1
4903,1
4913,1
4916,1
4918,1
4922,1
4949,1
4968,1
5027,1
5037,1
5091,1
5162,1
5164,1
5172,1
5183,1
5211,1
5241,1
5265,1
5280,1
5284,1
5291,1
5293,1
5391,1
5395,1
5415,1
5418,1
5425,1
5430,1
5445,1
5457,1
5474,1
5478,1
5494,1
5496,1
5505,1
5546,1
5547,1
5550,1
5558,1
5565,1
5573,1
5579,1
5601,1
5603,1
5618,1
5621,1
5628,1
5633,1
5638,1
5640,1
5641,1
5667,1
5698,1
5705,1
5715,1
5817,1
5819,1
5821,1
5843,1
5849,1
5854,1
5876,1
5877,1
5903,1
5913,1
5938,1
5941,1
5946,1
5960,1
5961,1
5969,1
5970,1
5993,1
5995,1
6006,1
6051,1
6056,1
6091,1
6105,1
6112,1
6117,1
6119,1
6121,1
6132,1
6144,1
6146,1
6182,1
6216,1
6231,1
6232,1
6234,1
6254,1
6258,1
6259,1
6279,1
6290,1
6317,1
6326,1
6336,1
6356,1
6359,1
6362,1
6378,1
6393,1
6402,1
6403,1
6406,1
6429,1
6437,1
6463,1
6478,1
6480,1
6500,1
6531,1
6549,1
6551,1
6564,1
6567,1
6581,1
6583,1
6584,1
6585,1
6610,1
6622,1
6623,1
6626,1
6652,1
6654,1
6662,1
6663,1
6665,1
6669,1
6672,1
6674,1
6697,1
6699,1
6702,1
6706,1
6711,1
6712,1
6735,1
6737,1
6740,1
6746,1
6759,1
6773,1
6798,1
6829,1
6864,1
6869,1
6905,1
6907,1
6909,1
6928,1
6929,1
6934,1
6935,1
6936,1
6944,1
6973,1
6979,1
7035,1
7044,1
7054,1
7071,1
7090,1
7119,1
7125,1
7126,1
7134,1
7152,1
7159,1
7160,1
7164,1
7172,1
7183,1
7195,1
7209,1
7244,1
7247,1
7255,1
7269,1
7284,1
7303,1
7333,1
7343,1
7353,1
7355,1
7388,1
7428,1
7442,1
7445,1
7460,1
7461,1
7463,1
7465,1
7496,1
7517,1
7524,1
7526,1
7546,1
7552,1
7554,1
7558,1
7559,1
7568,1
7569,1
7579,1
7580,1
7595,1
7596,1
7599,1
7611,1
7612,1
7630,1
7666,1
7690,1
7698,1
7704,1
7707,1
7708,1
7711,1
7721,1
7729,1
7739,1
7753,1
7754,1
7776,1
7784,1
